alt_files,brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,scrapfly,source,thumb,type,url,video
,Hyundai,,https://katalog.hponline.cz/DocumentHandler.ashx?IDFile=2057689,,PC 200,,Zavarovaci hrnec,cz,,,hyundai-electronics.cz,https://cdn.shopify.com/s/files/1/0645/9913/0365/products/DocumentHandler_7751923d-2492-4111-817e-f43813ce9070_100x.jpg?v=1658383732,Produktový list,https://www.hyundai-electronics.cz/collections/vareni/products/zavarovaci-hrnec-hyundai-pc-200-bily-hyupc200,
,Hyundai,,https://katalog.hponline.cz/DocumentHandler.ashx?IDFile=2057690,,PC 200,,Zavarovaci hrnec,cz,,,hyundai-electronics.cz,https://cdn.shopify.com/s/files/1/0645/9913/0365/products/DocumentHandler_7751923d-2492-4111-817e-f43813ce9070_100x.jpg?v=1658383732,Produktový list,https://www.hyundai-electronics.cz/collections/vareni/products/zavarovaci-hrnec-hyundai-pc-200-bily-hyupc200,
,Hyundai,,https://katalog.hponline.cz/DocumentHandler.ashx?IDFile=4385663,,PC 200,,Zavarovaci hrnec,cz,,,hyundai-electronics.cz,https://cdn.shopify.com/s/files/1/0645/9913/0365/products/DocumentHandler_7751923d-2492-4111-817e-f43813ce9070_100x.jpg?v=1658383732,Tisková kvalita,https://www.hyundai-electronics.cz/collections/vareni/products/zavarovaci-hrnec-hyundai-pc-200-bily-hyupc200,
,Hyundai,,https://katalog.hponline.cz/DocumentHandler.ashx?IDFile=4385665,,PC 200,,Zavarovaci hrnec,cz,,,hyundai-electronics.cz,https://cdn.shopify.com/s/files/1/0645/9913/0365/products/DocumentHandler_7751923d-2492-4111-817e-f43813ce9070_100x.jpg?v=1658383732,Tisková kvalita,https://www.hyundai-electronics.cz/collections/vareni/products/zavarovaci-hrnec-hyundai-pc-200-bily-hyupc200,
,Hyundai,,https://katalog.hponline.cz/DocumentHandler.ashx?IDFile=5003757,,PC 200,,Zavarovaci hrnec,cz,,,hyundai-electronics.cz,https://cdn.shopify.com/s/files/1/0645/9913/0365/products/DocumentHandler_7751923d-2492-4111-817e-f43813ce9070_100x.jpg?v=1658383732,Návod k použití,https://www.hyundai-electronics.cz/collections/vareni/products/zavarovaci-hrnec-hyundai-pc-200-bily-hyupc200,
,Hyundai,,https://katalog.hponline.cz/DocumentHandler.ashx?IDFile=3918576,,DTC657DW8F B,,Zmywarka,pl,,,hyundai-electronics.pl,https://cdn.shopify.com/s/files/1/0666/1495/2166/products/DocumentHandler_9917aa6e-58d4-47fc-8c0f-afff22e09ee8_100x.jpg?v=1665037723,Wysoka rozdzielczość,https://www.hyundai-electronics.pl/collections/zmywarki/products/zmywarka-hyundai-dtc657dw8f-biala-hyudtc657dw8f,
,Hyundai,,https://katalog.hponline.cz/DocumentHandler.ashx?IDFile=4528540,,DTC657DW8F B,,Zmywarka,pl,,,hyundai-electronics.pl,https://cdn.shopify.com/s/files/1/0666/1495/2166/products/DocumentHandler_9917aa6e-58d4-47fc-8c0f-afff22e09ee8_100x.jpg?v=1665037723,Plik informacyjny 2021,https://www.hyundai-electronics.pl/collections/zmywarki/products/zmywarka-hyundai-dtc657dw8f-biala-hyudtc657dw8f,
,Hyundai,,https://katalog.hponline.cz/DocumentHandler.ashx?IDFile=4554061,,DTC657DW8F B,,Zmywarka,pl,,,hyundai-electronics.pl,https://cdn.shopify.com/s/files/1/0666/1495/2166/products/DocumentHandler_9917aa6e-58d4-47fc-8c0f-afff22e09ee8_100x.jpg?v=1665037723,Etykieta energy JPG 2021,https://www.hyundai-electronics.pl/collections/zmywarki/products/zmywarka-hyundai-dtc657dw8f-biala-hyudtc657dw8f,
,Hyundai,,https://katalog.hponline.cz/DocumentHandler.ashx?IDFile=4629849,,DTC657DW8F B,,Zmywarka,pl,,,hyundai-electronics.pl,https://cdn.shopify.com/s/files/1/0666/1495/2166/products/DocumentHandler_9917aa6e-58d4-47fc-8c0f-afff22e09ee8_100x.jpg?v=1665037723,Instrukcja obsługi,https://www.hyundai-electronics.pl/collections/zmywarki/products/zmywarka-hyundai-dtc657dw8f-biala-hyudtc657dw8f,
,Hyundai,,https://katalog.hponline.cz/DocumentHandler.ashx?IDFile=4898663,,VS100 C,,Zgrzewarka folii,pl,,,hyundai-electronics.pl,https://cdn.shopify.com/s/files/1/0666/1495/2166/products/DocumentHandler_ff457a9a-23b6-4b05-8c20-2d9fd3b111fa_100x.jpg?v=1666934731,Wysoka rozdzielczość,https://www.hyundai-electronics.pl/collections/sprzet-kuchenny/products/zgrzewarka-folii-hyundai-vs100-czarna-hyuvs100,
,Hyundai,,https://katalog.hponline.cz/DocumentHandler.ashx?IDFile=5003706,,VS100 C,,Zgrzewarka folii,pl,,,hyundai-electronics.pl,https://cdn.shopify.com/s/files/1/0666/1495/2166/products/DocumentHandler_ff457a9a-23b6-4b05-8c20-2d9fd3b111fa_100x.jpg?v=1666934731,Instrukcja obsługi,https://www.hyundai-electronics.pl/collections/sprzet-kuchenny/products/zgrzewarka-folii-hyundai-vs100-czarna-hyuvs100,
,Hyundai,,https://katalog.hponline.cz/DocumentHandler.ashx?IDFile=5150520,,KVE893C,,Waga kuchenna,pl,,,hyundai-electronics.pl,https://cdn.shopify.com/s/files/1/0666/1495/2166/products/DocumentHandler_fc6d1311-c305-4016-9fc3-36841a810bce_100x.jpg?v=1665897106,Wysoka rozdzielczość,https://www.hyundai-electronics.pl/collections/sprzet-kuchenny/products/waga-kuchenna-hyundai-kve893c-hyukve893c,
,Hyundai,,https://katalog.hponline.cz/DocumentHandler.ashx?IDFile=4381611,,FSB050WW8E B,,Zamrazarka,pl,,,hyundai-electronics.pl,https://cdn.shopify.com/s/files/1/0666/1495/2166/products/DocumentHandler_f77110c7-783b-478a-a594-6e914dbfbdc8_100x.jpg?v=1665037707,Wysoka rozdzielczość,https://www.hyundai-electronics.pl/collections/zamrazarki/products/zamrazarka-hyundai-fsb050ww8e-biala-hyufsb050ww8e,
,Hyundai,,https://katalog.hponline.cz/DocumentHandler.ashx?IDFile=4517644,,FSB050WW8E B,,Zamrazarka,pl,,,hyundai-electronics.pl,https://cdn.shopify.com/s/files/1/0666/1495/2166/products/DocumentHandler_f77110c7-783b-478a-a594-6e914dbfbdc8_100x.jpg?v=1665037707,Etykieta energy JPG 2021,https://www.hyundai-electronics.pl/collections/zamrazarki/products/zamrazarka-hyundai-fsb050ww8e-biala-hyufsb050ww8e,
,Hyundai,,https://katalog.hponline.cz/DocumentHandler.ashx?IDFile=4528541,,FSB050WW8E B,,Zamrazarka,pl,,,hyundai-electronics.pl,https://cdn.shopify.com/s/files/1/0666/1495/2166/products/DocumentHandler_f77110c7-783b-478a-a594-6e914dbfbdc8_100x.jpg?v=1665037707,Plik informacyjny 2021,https://www.hyundai-electronics.pl/collections/zamrazarki/products/zamrazarka-hyundai-fsb050ww8e-biala-hyufsb050ww8e,
,Hyundai,,https://katalog.hponline.cz/DocumentHandler.ashx?IDFile=4535158,,FSB050WW8E B,,Zamrazarka,pl,,,hyundai-electronics.pl,https://cdn.shopify.com/s/files/1/0666/1495/2166/products/DocumentHandler_f77110c7-783b-478a-a594-6e914dbfbdc8_100x.jpg?v=1665037707,Instrukcja obsługi,https://www.hyundai-electronics.pl/collections/zamrazarki/products/zamrazarka-hyundai-fsb050ww8e-biala-hyufsb050ww8e,
