alt_files,brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,scrapfly,source,thumb,type,url,video
,Hyundai,,https://katalog.hponline.cz/DocumentHandler.ashx?IDFile=5003709,,SM 627,SM 627 3 v 1 fehér,Szendvics,hu,,,hyundai-electronics.hu,https://cdn.shopify.com/s/files/1/0666/1452/6205/products/DocumentHandler_6f101d55-e362-4af5-94cb-54f39d5c2f43_100x.jpg?v=1664887302,Használati utasítás,https://www.hyundai-electronics.hu/collections/szendvics-sutok/products/szendvics-hyundai-sm-627-3-v-1-feher-hyusm627,
,Hyundai,,https://katalog.hponline.cz/DocumentHandler.ashx?IDFile=5003710,,SM 626,SM 626 fehér,Szendvics,hu,,,hyundai-electronics.hu,https://cdn.shopify.com/s/files/1/0666/1452/6205/products/DocumentHandler_37bc6401-fb41-4f3d-8408-f3153e5012c8_100x.jpg?v=1664887253,Használati utasítás,https://www.hyundai-electronics.hu/collections/szendvics-sutok/products/szendvics-hyundai-sm-626-feher-hyusm626,
,Hyundai,,https://katalog.hponline.cz/DocumentHandler.ashx?IDFile=5003711,,SM 626 B,SM 626 B fekete,Szendvics,hu,,,hyundai-electronics.hu,https://cdn.shopify.com/s/files/1/0666/1452/6205/products/DocumentHandler_af493add-80c6-4a4f-b24f-95cd61483452_100x.jpg?v=1664887324,Használati utasítás,https://www.hyundai-electronics.hu/collections/szendvics-sutok/products/szendvics-hyundai-sm-626-b-fekete-hyusm626b,
,Hyundai,,https://katalog.hponline.cz/DocumentHandler.ashx?IDFile=4535158,,FSB050WW8E,FSB050WW8E fehér,Fagyaszto,hu,,,hyundai-electronics.hu,https://cdn.shopify.com/s/files/1/0666/1452/6205/products/DocumentHandler_8ce2b135-6af1-4041-b203-a5ebb9f8b813_100x.jpg?v=1664886494,Használati utasítás,https://www.hyundai-electronics.hu/collections/fagyasztoszekrenyek/products/fagyaszto-hyundai-fsb050ww8e-feher-hyufsb050ww8e,
,Hyundai,,https://katalog.hponline.cz/DocumentHandler.ashx?IDFile=4629849,,DTC657DW8F,DTC657DW8F fehér,Mosogatogep,hu,,,hyundai-electronics.hu,https://cdn.shopify.com/s/files/1/0666/1452/6205/products/DocumentHandler_b9bfe4e5-f75d-49cd-8dd3-ce84db2e3e86_100x.jpg?v=1664886509,Használati utasítás,https://www.hyundai-electronics.hu/collections/mosogatogepek/products/mosogatogep-hyundai-dtc657dw8f-feher-hyudtc657dw8f,
,Hyundai,,https://katalog.hponline.cz/DocumentHandler.ashx?IDFile=5003710,,SM 626,SM 626 fehér,Szendvics,hu,,,hyundai-electronics.hu,https://cdn.shopify.com/s/files/1/0666/1452/6205/products/DocumentHandler_37bc6401-fb41-4f3d-8408-f3153e5012c8_100x.jpg?v=1664887253,Használati utasítás,https://www.hyundai-electronics.hu/collections/konyha/products/szendvics-hyundai-sm-626-feher-hyusm626,
,Hyundai,,https://katalog.hponline.cz/DocumentHandler.ashx?IDFile=5003750,,VK780,VK780,Vizforralo,hu,,,hyundai-electronics.hu,https://cdn.shopify.com/s/files/1/0666/1452/6205/products/DocumentHandler_68f0a1db-8cf5-4e6b-9a47-87e7a8ffc9c0_100x.jpg?v=1664887236,Használati utasítás,https://www.hyundai-electronics.hu/collections/vizforralok/products/vizforralo-hyundai-vk780-hyuvk780,
,Hyundai,,https://katalog.hponline.cz/DocumentHandler.ashx?IDFile=4488691,,VK171,VK171 fehér,Vizforralo,hu,,,hyundai-electronics.hu,https://cdn.shopify.com/s/files/1/0666/1452/6205/products/DocumentHandler_b91e52ef-500e-4c1f-b742-199cda5cdf22_100x.jpg?v=1664887102,Használati utasítás,https://www.hyundai-electronics.hu/collections/vizforralok/products/vizforralo-hyundai-vk171-feher-hyuvk171,
,Hyundai,,https://katalog.hponline.cz/DocumentHandler.ashx?IDFile=4404793,,LF 730 MULTI,LF 730 MULTI fekete,Digitalis kepkeret,hu,,,hyundai-electronics.hu,https://cdn.shopify.com/s/files/1/0666/1452/6205/products/DocumentHandler_07ae5274-2e6f-4d0c-a58e-7dd611e0c890_100x.jpg?v=1664884995,Használati utasítás,https://www.hyundai-electronics.hu/collections/digitalis-kepkeretek/products/digitalis-kepkeret-hyundai-lf-730-multi-fekete-hyulf730multi,
,Hyundai,,https://katalog.hponline.cz/DocumentHandler.ashx?IDFile=4404795,,LF 730 MULTI,LF 730 MULTI fekete,Digitalis kepkeret,hu,,,hyundai-electronics.hu,https://cdn.shopify.com/s/files/1/0666/1452/6205/products/DocumentHandler_07ae5274-2e6f-4d0c-a58e-7dd611e0c890_100x.jpg?v=1664884995,Használati utasítás,https://www.hyundai-electronics.hu/collections/digitalis-kepkeretek/products/digitalis-kepkeret-hyundai-lf-730-multi-fekete-hyulf730multi,
,Hyundai,,https://katalog.hponline.cz/DocumentHandler.ashx?IDFile=5003754,,VK101,VK101 fekete/üveg,Vizforralo,hu,,,hyundai-electronics.hu,https://cdn.shopify.com/s/files/1/0666/1452/6205/products/DocumentHandler_c9bf951a-7ad1-41b8-af58-fb340897b59a_100x.jpg?v=1664887123,Használati utasítás,https://www.hyundai-electronics.hu/collections/vizforralok/products/vizforralo-hyundai-vk101-fekete-uveg-hyuvk101,
